mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.045237612724304196,0.001456087641944835,0.0025986671447753907,5.496313099791893e-05,3,{'max_depth': 3},0.2672651547068676,0.2652793065360399,0.2651397163014354,0.25158497915502787,0.2708216382136134,0.25882989500720555,0.25541525269472176,0.2709822336433352,0.2641715066533835,0.26365245992147,0.26331421428331003,0.005990750712118775,27
0.05756065845489502,0.00346522330130525,0.0027033329010009766,0.00010770463718756418,4,{'max_depth': 4},0.3432090063980142,0.3407087011907548,0.3405698409677107,0.32665826611167614,0.3482263944096142,0.3320840543795369,0.33209239023878023,0.3451888169338553,0.33579650497690217,0.33854130826808393,0.3383075283874929,0.006325100671606815,26
0.06473836898803711,0.0011569928020342367,0.0027336835861206054,0.00013611911357104168,5,{'max_depth': 5},0.40556627409110935,0.4026431663653103,0.3957243070755274,0.3835453462145504,0.4128792841111333,0.3898451563238199,0.39355394197619864,0.4011451377037132,0.3989269046330389,0.3963263448940405,0.3980155863388442,0.007836676784858498,25
0.07327768802642823,0.0009771574597912858,0.0027797698974609377,3.922167515812552e-05,6,{'max_depth': 6},0.47350016686425134,0.47389726556648515,0.46491158205051974,0.4660349668698721,0.4855163835917632,0.4657312400910226,0.4734213151928477,0.47325476573973857,0.47621716053856056,0.4661228094700697,0.47186076559751305,0.006077778426368221,24
0.08221559524536133,0.0017490680622175262,0.0028512001037597655,7.803821423284236e-05,7,{'max_depth': 7},0.4990875074359089,0.5060523965214863,0.4924828953989625,0.4986912939971656,0.5119032147270475,0.4928539759813628,0.5005017603008263,0.5040958116098353,0.5072656231918589,0.4975512130649956,0.5010485692229449,0.005943519153157933,23
0.08971641063690186,0.0017504506506659725,0.002930736541748047,8.715314115372382e-05,8,{'max_depth': 8},0.5228520757922708,0.5265975481395165,0.5190945697534802,0.5255655843808553,0.5344416450034972,0.5174337270547056,0.5242520109123768,0.5242015190644215,0.5304346526755654,0.5265250272605415,0.5251398360037232,0.004707606116202767,22
0.09741899967193604,0.0016323092860870431,0.002955317497253418,2.3761434812481435e-05,9,{'max_depth': 9},0.5377362432405779,0.5477810497963181,0.5423317074438374,0.5453366448568009,0.5549974242850433,0.5394974019823917,0.5486137153939846,0.5451553173790471,0.549643492754076,0.544045357577791,0.5455138354709869,0.004804921987598185,21
0.10623793601989746,0.001469415234367666,0.003063058853149414,8.841184585859626e-05,10,{'max_depth': 10},0.5646939294024271,0.5691381869317007,0.5705624134902874,0.571861117567632,0.5751553210170856,0.5684369559250438,0.5751480096089667,0.565431958594286,0.5736357532115866,0.562609109597725,0.5696672755346741,0.004192893129203911,20
0.11176068782806396,0.0018199960265231937,0.0032272577285766602,0.00025783164207632714,11,{'max_depth': 11},0.5897055187465563,0.5998057197566831,0.6028840398409445,0.6004202091388282,0.5991339869034624,0.5961084793886113,0.6090495740508817,0.5914980695963813,0.6035147683744441,0.5916409770371702,0.5983761342833962,0.00583470081513235,19
0.11756241321563721,0.001568653067182621,0.0032413244247436524,2.4352669358460633e-05,12,{'max_depth': 12},0.6189283361381881,0.6298496294286632,0.6362779838200374,0.6309755356929123,0.6339853403557438,0.6265626428835509,0.639692897278914,0.6214053221164336,0.6401666190595727,0.6215605679902341,0.6299404874764251,0.007300937942036947,18
0.12369074821472167,0.0012957059134523718,0.003400254249572754,0.00014941960936951072,13,{'max_depth': 13},0.6486883625135791,0.6590026137656223,0.6711630675031028,0.6585640133542607,0.665392630503169,0.6545771583469067,0.6673851745855386,0.6517158379946384,0.6698693856713436,0.6590325519153093,0.6605390796153472,0.007298729586633294,17
0.1301560640335083,0.0013678536642906186,0.0035503149032592774,4.5644980118796736e-05,14,{'max_depth': 14},0.6843141541249882,0.6953080358011892,0.702121678977818,0.6878250375175943,0.7038378235813147,0.6910640645608818,0.697571405148867,0.6817243139132988,0.6962486111165815,0.6895128893636332,0.6929528014106168,0.006947607195044894,16
0.14332873821258546,0.010182955989175032,0.0039036035537719726,0.00037518895505736114,15,{'max_depth': 15},0.7171549588774482,0.7289556236257254,0.7339160188540652,0.7172619393081807,0.7338076222441601,0.7256677892138121,0.7320715640015428,0.7141010004282516,0.7279107392472628,0.7252596488729923,0.7256106904673442,0.006842443694439859,15
0.1458878993988037,0.002192216893511068,0.00392603874206543,0.00010422699361347144,16,{'max_depth': 16},0.7429928262170097,0.7533870264973533,0.761059858545682,0.7481098625600653,0.7648373881086745,0.7585883689356583,0.7641337557457819,0.739930152565659,0.760649658734571,0.7494764760661725,0.7543165373976628,0.008419637323684356,14
0.15797414779663085,0.010291870805089276,0.004320716857910157,0.00030573165083052663,17,{'max_depth': 17},0.7710460610842264,0.7843332118527506,0.7905713938276964,0.7758897338948689,0.7968852527024735,0.7848132514611,0.7896583095685634,0.7697400612986378,0.7868037104174251,0.7742359374675748,0.7823976923575316,0.008697427448526267,13
0.16486222743988038,0.01300837863184666,0.004311466217041015,0.00023345667258465873,18,{'max_depth': 18},0.798478354204095,0.8080001834469457,0.8073750406859457,0.7999537267721226,0.8180582295360527,0.8126523833034367,0.8100355711840911,0.7973077751478835,0.8090122519035481,0.7969819709054219,0.8057855487089542,0.00685899681932433,12
0.19060535430908204,0.04415253594692396,0.0052119970321655275,0.001234417534047154,19,{'max_depth': 19},0.8228859407426657,0.8312184809359426,0.8315160465987071,0.8204323826921651,0.834220242679112,0.8309455244194384,0.834528704225541,0.8235628607034069,0.8350102712279197,0.8229787341826393,0.8287299188407538,0.005337157971017127,11
0.17940990924835204,0.024433749189462235,0.004971885681152343,0.0009191793207742696,20,{'max_depth': 20},0.8425771392378811,0.8510745776152313,0.8477223637784878,0.8360913524077647,0.8505659318930913,0.8476760816647337,0.8505730083682344,0.8459459357381538,0.8510706716580677,0.8457762428715295,0.8469073305233176,0.0044801423155186515,10
0.17246909141540528,0.012225847052225689,0.004639530181884765,0.00021986250389151486,21,{'max_depth': 21},0.8606481887991754,0.8677124759426229,0.8653225171739117,0.8530452765174867,0.86513440695053,0.868656215735564,0.8658220590332751,0.8631652994622713,0.865602866788665,0.8639584967454873,0.863906780314899,0.004198094660480295,9
0.23484787940979004,0.06734270348776801,0.007048678398132324,0.0033146510721535484,22,{'max_depth': 22},0.8744851373760439,0.8832741911425629,0.8795071459609219,0.8678572698831917,0.880125341872158,0.8838193829364676,0.8791082692532088,0.8753326800390986,0.8783039423593001,0.8833016768786963,0.878511503770165,0.004665048387794977,8
0.1718843936920166,0.006475166184371932,0.0048048973083496095,0.000247045664013658,23,{'max_depth': 23},0.8885720739904829,0.8997077234006542,0.8901452770047867,0.8777047727855853,0.8940644192866218,0.8948380249770698,0.8896898482049524,0.8880407796768774,0.8890084743505875,0.8925430678435741,0.8904314461521192,0.005449056538061133,7
0.1811434268951416,0.01490737142937034,0.004808115959167481,0.0002753487086629984,24,{'max_depth': 24},0.8965608230480053,0.9075702587434049,0.8976758852654293,0.8901889938169684,0.8997600334650295,0.9018382682928265,0.9007349250505703,0.8973972850133037,0.8988076513998202,0.9048865225810712,0.8995420646676429,0.0045249078663755025,6
0.17960107326507568,0.010503353756249972,0.004917216300964355,0.0002460249866515474,25,{'max_depth': 25},0.9083447423441191,0.9146055537827288,0.9062664583677507,0.8966224722791494,0.9062679837836912,0.910632224690413,0.9049618886253437,0.907447337816668,0.9052376239406859,0.9141324427454746,0.9074518728376024,0.004877526797014149,5
0.1821234941482544,0.009491491076906142,0.004908323287963867,0.0003441987352861741,26,{'max_depth': 26},0.9183878575212431,0.9201000063663514,0.910762295585024,0.9036517491875147,0.9132964656986454,0.9150130302616609,0.9133115758448171,0.9114349398866824,0.9121530703646117,0.9205124782539301,0.9138623468970482,0.004777458387031494,4
0.17610499858856202,0.007166955833253876,0.004895925521850586,0.00015918899832796668,27,{'max_depth': 27},0.921626512585311,0.9245518319938637,0.9158970436989978,0.908112031420274,0.918651893291676,0.9181740468069471,0.9182378447021269,0.9168681636892978,0.9142773040867055,0.9243402119929123,0.9180736884268113,0.004626745915560664,3
0.173907470703125,0.009076968401447097,0.004803681373596191,0.00011405195505429578,28,{'max_depth': 28},0.9256782854026404,0.9258441673623332,0.9180088632869416,0.9111813683609848,0.9222685697430385,0.9206327731849602,0.9229381090366366,0.9199944144402645,0.9178522790906839,0.9256851426745615,0.9210083972583046,0.004348267875702674,2
0.19083771705627442,0.011498574370295719,0.005527925491333008,0.0008231960753430079,29,{'max_depth': 29},0.9262860107785403,0.9283315905754941,0.9223349806596775,0.9105657091841495,0.9243201199205786,0.9215302324956326,0.9252681414477985,0.9243937698007546,0.9213403128671334,0.9272797037754645,0.9231650571505223,0.004754635042557851,1
